date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Mean
24-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.67
25-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.24
26-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.07
27-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.18
28-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.12
29-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.14
30-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.1
01-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.8
02-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.7
03-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.67
04-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.51
05-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.37
06-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.12
07-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.95
08-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.81
09-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.59
10-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.32
11-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.9
12-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.4
13-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.31
14-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.05
15-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.86
16-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.61
17-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.67
18-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.43
19-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.16
20-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.87
21-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.7
22-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.48
23-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.17
24-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.72
25-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.46
26-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.18
27-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,18.06
28-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.95
29-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.64
30-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.34
31-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.45
01-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,17.28
02-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,16.93
03-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,16.7
