STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-21,32.92,1.91,24.79,0.88,4.8629,10.45
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-22,32.66,1.83,24.42,0.86,7.63,16.6929
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-23,32.9,1.53,24.58,0.82,3.1914,5.7543
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-24,32.57,2.04,24.43,0.82,7.19,14.5786
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-25,32.37,2.03,24.07,1,3.5786,7.4343
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-26,32.92,1.93,23.78,0.97,3.7,8.78
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-27,33.2,1.98,23.95,0.94,2.1657,6.6414
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-28,33.25,1.96,23.92,1,4.5471,18.1114
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-29,33.38,1.89,23.91,0.97,2.7357,9.7143
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,09-30,33.26,1.48,23.77,1.23,2.4757,6.25
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-01,33.34,1.34,23.65,1.21,2.1057,7.3157
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-02,33.15,1.74,23.54,1.2,1.4043,5.6071
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-03,33.06,2.09,23.6,1.24,0.8786,3.9086
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-04,32.79,2.08,23.34,1.13,3.5914,8.6657
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-05,33.15,1.95,23.09,1.12,5.8329,16.3371
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-06,33.3,2.22,22.92,1.06,8.6914,29.82
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-07,33.13,1.84,22.63,1.39,7.4629,24.52
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-08,33.26,1.49,22.57,1.49,3.1629,11.7457
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,10-09,33.26,1.44,22.31,1.35,0.7957,3.3571
