 date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Std
03-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.12
04-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.12
05-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.55
06-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.57
07-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.47
08-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.49
09-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.35
10-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
11-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.16
12-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.96
13-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
14-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.93
15-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.65
16-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.76
17-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.85
18-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.74
19-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.88
20-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
21-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.57
22-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.51
23-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.56
24-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
25-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
26-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.21
27-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.91
28-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
29-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.88
30-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.06
