date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmax_Std
30-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.06
31-05-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.02
01-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.94
02-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.82
03-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.08
04-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.42
05-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.18
06-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.03
07-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.33
08-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.23
09-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.15
10-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.17
11-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.92
12-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.21
13-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.12
14-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.57
15-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.9
16-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,4.06
17-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,4.08
18-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.99
19-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,4.04
20-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.67
21-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.18
22-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.16
23-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.84
24-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.4
25-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.63
26-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.41
27-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.89
28-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.96
29-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.27
30-06-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.25
01-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.6
02-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
03-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.91
04-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
05-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.55
06-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.73
07-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.37
08-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
09-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.74
10-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.49
11-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.44
12-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.33
13-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.2
14-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.33
15-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.14
16-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
17-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.24
18-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.2
19-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.91
20-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
21-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.84
22-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
23-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
24-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.83
25-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.87
26-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
27-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.14
28-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.69
29-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
30-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.57
31-07-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.6
01-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.52
02-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.37
03-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.8
04-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.54
05-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.46
06-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.46
07-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.32
08-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.34
09-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.45
10-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.4
11-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.46
12-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.81
13-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.54
14-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.56
15-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.83
16-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
17-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.64
18-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.69
19-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.66
20-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.34
21-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.43
22-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
23-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.53
24-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.36
25-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.43
26-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.29
27-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.24
28-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.28
29-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.42
30-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.47
31-08-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.7
01-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
02-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
03-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.9
04-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.69
05-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.71
06-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.8
07-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.83
08-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.93
09-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.97
10-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
11-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
12-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.84
13-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.94
14-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.89
15-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.06
16-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.01
17-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
18-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.85
19-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
20-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.73
21-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.94
22-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.86
23-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
24-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
25-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.99
26-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.9
27-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.96
28-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.96
29-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.9
30-09-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.47
01-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.24
02-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.77
03-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.22
04-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.19
05-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.08
06-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.29
07-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.84
08-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.59
09-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.47
10-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
11-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
12-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.51
13-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.67
14-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
15-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
16-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.62
17-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.7
18-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.48
19-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.68
20-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.59
21-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
22-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.44
23-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.62
24-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.61
25-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.72
26-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.41
27-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.5
28-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.71
29-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.79
30-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.98
31-10-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.8
01-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.26
02-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.21
03-11-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.23
